"Landmark_0: (0.5734, 0.8175, 0.0000)","Landmark_1: (0.6449, 0.7840, -0.0328)","Landmark_2: (0.7030, 0.7071, -0.0492)","Landmark_3: (0.7477, 0.6502, -0.0644)","Landmark_4: (0.7951, 0.6203, -0.0803)","Landmark_5: (0.6512, 0.5608, -0.0297)","Landmark_6: (0.6668, 0.4634, -0.0535)","Landmark_7: (0.6764, 0.4027, -0.0736)","Landmark_8: (0.6839, 0.3484, -0.0895)","Landmark_9: (0.6019, 0.5422, -0.0315)","Landmark_10: (0.6030, 0.4371, -0.0537)","Landmark_11: (0.6022, 0.3710, -0.0729)","Landmark_12: (0.5981, 0.3169, -0.0876)","Landmark_13: (0.5543, 0.5487, -0.0379)","Landmark_14: (0.5417, 0.4448, -0.0639)","Landmark_15: (0.5312, 0.3832, -0.0836)","Landmark_16: (0.5199, 0.3320, -0.0964)","Landmark_17: (0.5094, 0.5755, -0.0472)","Landmark_18: (0.4828, 0.4899, -0.0741)","Landmark_19: (0.4627, 0.4401, -0.0893)","Landmark_20: (0.4448, 0.3945, -0.0986)"
"Landmark_0: (0.5767, 0.8139, 0.0000)","Landmark_1: (0.6475, 0.7771, -0.0309)","Landmark_2: (0.7049, 0.6983, -0.0460)","Landmark_3: (0.7493, 0.6442, -0.0602)","Landmark_4: (0.7964, 0.6176, -0.0752)","Landmark_5: (0.6500, 0.5506, -0.0275)","Landmark_6: (0.6653, 0.4555, -0.0507)","Landmark_7: (0.6748, 0.3963, -0.0706)","Landmark_8: (0.6827, 0.3446, -0.0865)","Landmark_9: (0.6015, 0.5349, -0.0302)","Landmark_10: (0.6007, 0.4301, -0.0523)","Landmark_11: (0.5999, 0.3646, -0.0715)","Landmark_12: (0.5968, 0.3118, -0.0860)","Landmark_13: (0.5557, 0.5456, -0.0375)","Landmark_14: (0.5404, 0.4421, -0.0636)","Landmark_15: (0.5291, 0.3782, -0.0841)","Landmark_16: (0.5184, 0.3244, -0.0974)","Landmark_17: (0.5131, 0.5774, -0.0475)","Landmark_18: (0.4839, 0.4961, -0.0752)","Landmark_19: (0.4623, 0.4451, -0.0917)","Landmark_20: (0.4443, 0.3968, -0.1018)"
"Landmark_0: (0.5763, 0.8185, 0.0000)","Landmark_1: (0.6469, 0.7833, -0.0304)","Landmark_2: (0.7044, 0.7071, -0.0458)","Landmark_3: (0.7494, 0.6496, -0.0604)","Landmark_4: (0.7961, 0.6232, -0.0756)","Landmark_5: (0.6507, 0.5622, -0.0264)","Landmark_6: (0.6641, 0.4641, -0.0481)","Landmark_7: (0.6727, 0.4030, -0.0669)","Landmark_8: (0.6796, 0.3501, -0.0819)","Landmark_9: (0.6028, 0.5438, -0.0289)","Landmark_10: (0.6035, 0.4363, -0.0502)","Landmark_11: (0.6023, 0.3684, -0.0688)","Landmark_12: (0.5983, 0.3138, -0.0830)","Landmark_13: (0.5563, 0.5494, -0.0358)","Landmark_14: (0.5430, 0.4441, -0.0615)","Landmark_15: (0.5326, 0.3803, -0.0821)","Landmark_16: (0.5216, 0.3278, -0.0955)","Landmark_17: (0.5119, 0.5748, -0.0453)","Landmark_18: (0.4818, 0.4924, -0.0723)","Landmark_19: (0.4583, 0.4435, -0.0886)","Landmark_20: (0.4374, 0.3984, -0.0986)"
"Landmark_0: (0.5741, 0.8156, 0.0000)","Landmark_1: (0.6418, 0.7778, -0.0324)","Landmark_2: (0.6986, 0.7007, -0.0481)","Landmark_3: (0.7449, 0.6450, -0.0626)","Landmark_4: (0.7959, 0.6189, -0.0770)","Landmark_5: (0.6491, 0.5514, -0.0194)","Landmark_6: (0.6651, 0.4564, -0.0373)","Landmark_7: (0.6734, 0.3978, -0.0544)","Landmark_8: (0.6797, 0.3468, -0.0685)","Landmark_9: (0.6006, 0.5339, -0.0200)","Landmark_10: (0.6021, 0.4284, -0.0365)","Landmark_11: (0.6022, 0.3631, -0.0528)","Landmark_12: (0.5999, 0.3104, -0.0653)","Landmark_13: (0.5538, 0.5412, -0.0258)","Landmark_14: (0.5413, 0.4358, -0.0464)","Landmark_15: (0.5308, 0.3729, -0.0647)","Landmark_16: (0.5215, 0.3195, -0.0768)","Landmark_17: (0.5095, 0.5698, -0.0348)","Landmark_18: (0.4802, 0.4886, -0.0572)","Landmark_19: (0.4578, 0.4383, -0.0711)","Landmark_20: (0.4392, 0.3905, -0.0796)"
"Landmark_0: (0.5703, 0.8086, 0.0000)","Landmark_1: (0.6399, 0.7795, -0.0361)","Landmark_2: (0.7008, 0.7089, -0.0545)","Landmark_3: (0.7463, 0.6515, -0.0708)","Landmark_4: (0.7942, 0.6205, -0.0876)","Landmark_5: (0.6485, 0.5547, -0.0305)","Landmark_6: (0.6640, 0.4588, -0.0534)","Landmark_7: (0.6716, 0.3992, -0.0727)","Landmark_8: (0.6767, 0.3480, -0.0877)","Landmark_9: (0.6018, 0.5334, -0.0303)","Landmark_10: (0.6048, 0.4252, -0.0511)","Landmark_11: (0.6043, 0.3600, -0.0685)","Landmark_12: (0.6003, 0.3088, -0.0815)","Landmark_13: (0.5555, 0.5377, -0.0350)","Landmark_14: (0.5434, 0.4305, -0.0596)","Landmark_15: (0.5335, 0.3689, -0.0784)","Landmark_16: (0.5227, 0.3186, -0.0906)","Landmark_17: (0.5105, 0.5637, -0.0429)","Landmark_18: (0.4789, 0.4806, -0.0687)","Landmark_19: (0.4552, 0.4327, -0.0833)","Landmark_20: (0.4343, 0.3885, -0.0920)"
"Landmark_0: (0.5665, 0.8050, 0.0000)","Landmark_1: (0.6374, 0.7734, -0.0253)","Landmark_2: (0.6966, 0.6980, -0.0358)","Landmark_3: (0.7434, 0.6431, -0.0467)","Landmark_4: (0.7915, 0.6177, -0.0576)","Landmark_5: (0.6447, 0.5440, -0.0084)","Landmark_6: (0.6600, 0.4477, -0.0224)","Landmark_7: (0.6691, 0.3927, -0.0364)","Landmark_8: (0.6769, 0.3475, -0.0479)","Landmark_9: (0.5995, 0.5250, -0.0114)","Landmark_10: (0.6068, 0.4168, -0.0236)","Landmark_11: (0.6115, 0.3521, -0.0371)","Landmark_12: (0.6132, 0.3019, -0.0474)","Landmark_13: (0.5546, 0.5299, -0.0195)","Landmark_14: (0.5453, 0.4239, -0.0372)","Landmark_15: (0.5377, 0.3631, -0.0539)","Landmark_16: (0.5302, 0.3131, -0.0647)","Landmark_17: (0.5103, 0.5574, -0.0302)","Landmark_18: (0.4811, 0.4750, -0.0507)","Landmark_19: (0.4591, 0.4263, -0.0632)","Landmark_20: (0.4409, 0.3796, -0.0706)"
"Landmark_0: (0.5696, 0.8096, 0.0000)","Landmark_1: (0.6360, 0.7750, -0.0320)","Landmark_2: (0.6933, 0.6956, -0.0507)","Landmark_3: (0.7400, 0.6397, -0.0660)","Landmark_4: (0.7873, 0.6171, -0.0835)","Landmark_5: (0.6433, 0.5730, -0.0555)","Landmark_6: (0.6642, 0.4666, -0.0842)","Landmark_7: (0.6797, 0.4062, -0.1032)","Landmark_8: (0.6901, 0.3586, -0.1177)","Landmark_9: (0.5966, 0.5534, -0.0589)","Landmark_10: (0.5966, 0.4458, -0.0932)","Landmark_11: (0.5904, 0.3847, -0.1182)","Landmark_12: (0.5796, 0.3365, -0.1354)","Landmark_13: (0.5511, 0.5541, -0.0645)","Landmark_14: (0.5437, 0.4446, -0.1024)","Landmark_15: (0.5395, 0.3679, -0.1308)","Landmark_16: (0.5315, 0.3041, -0.1489)","Landmark_17: (0.5083, 0.5720, -0.0707)","Landmark_18: (0.4842, 0.4801, -0.1055)","Landmark_19: (0.4660, 0.4208, -0.1255)","Landmark_20: (0.4507, 0.3667, -0.1388)"
"Landmark_0: (0.5735, 0.8057, 0.0000)","Landmark_1: (0.6392, 0.7761, -0.0377)","Landmark_2: (0.6986, 0.6990, -0.0631)","Landmark_3: (0.7438, 0.6397, -0.0835)","Landmark_4: (0.7912, 0.6100, -0.1052)","Landmark_5: (0.6451, 0.5777, -0.0660)","Landmark_6: (0.6643, 0.4810, -0.1016)","Landmark_7: (0.6840, 0.4281, -0.1248)","Landmark_8: (0.7009, 0.3932, -0.1405)","Landmark_9: (0.6017, 0.5549, -0.0660)","Landmark_10: (0.6286, 0.4649, -0.1082)","Landmark_11: (0.6569, 0.4189, -0.1342)","Landmark_12: (0.6778, 0.3909, -0.1493)","Landmark_13: (0.5561, 0.5512, -0.0686)","Landmark_14: (0.5529, 0.4403, -0.1123)","Landmark_15: (0.5509, 0.3626, -0.1430)","Landmark_16: (0.5486, 0.2999, -0.1607)","Landmark_17: (0.5142, 0.5656, -0.0719)","Landmark_18: (0.4879, 0.4748, -0.1087)","Landmark_19: (0.4665, 0.4169, -0.1304)","Landmark_20: (0.4496, 0.3652, -0.1442)"
"Landmark_0: (0.5721, 0.8041, 0.0000)","Landmark_1: (0.6363, 0.7783, -0.0490)","Landmark_2: (0.6892, 0.7034, -0.0831)","Landmark_3: (0.7342, 0.6419, -0.1103)","Landmark_4: (0.7866, 0.6086, -0.1379)","Landmark_5: (0.6410, 0.5695, -0.0811)","Landmark_6: (0.6594, 0.4764, -0.1253)","Landmark_7: (0.6876, 0.4426, -0.1546)","Landmark_8: (0.7132, 0.4292, -0.1737)","Landmark_9: (0.6005, 0.5508, -0.0778)","Landmark_10: (0.6285, 0.4689, -0.1315)","Landmark_11: (0.6619, 0.4487, -0.1623)","Landmark_12: (0.6858, 0.4436, -0.1779)","Landmark_13: (0.5574, 0.5508, -0.0782)","Landmark_14: (0.5537, 0.4421, -0.1284)","Landmark_15: (0.5519, 0.3633, -0.1621)","Landmark_16: (0.5493, 0.3014, -0.1808)","Landmark_17: (0.5155, 0.5682, -0.0802)","Landmark_18: (0.4895, 0.4781, -0.1187)","Landmark_19: (0.4677, 0.4199, -0.1415)","Landmark_20: (0.4497, 0.3681, -0.1561)"
"Landmark_0: (0.5704, 0.7992, 0.0000)","Landmark_1: (0.6368, 0.7714, -0.0469)","Landmark_2: (0.6931, 0.6997, -0.0818)","Landmark_3: (0.7394, 0.6400, -0.1076)","Landmark_4: (0.7896, 0.6067, -0.1352)","Landmark_5: (0.6384, 0.5864, -0.1075)","Landmark_6: (0.6596, 0.4965, -0.1510)","Landmark_7: (0.6894, 0.4690, -0.1765)","Landmark_8: (0.7187, 0.4574, -0.1935)","Landmark_9: (0.5949, 0.5646, -0.1026)","Landmark_10: (0.6215, 0.4720, -0.1508)","Landmark_11: (0.6477, 0.4288, -0.1793)","Landmark_12: (0.6687, 0.3983, -0.1989)","Landmark_13: (0.5516, 0.5567, -0.0982)","Landmark_14: (0.5515, 0.4461, -0.1470)","Landmark_15: (0.5520, 0.3680, -0.1827)","Landmark_16: (0.5516, 0.3082, -0.2060)","Landmark_17: (0.5123, 0.5646, -0.0940)","Landmark_18: (0.4859, 0.4727, -0.1346)","Landmark_19: (0.4625, 0.4154, -0.1610)","Landmark_20: (0.4426, 0.3653, -0.1800)"
